name,pos,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%
Andreas Malin,CB,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Simon Lüchinger,MF,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sandro Wolfinger,RB,79,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0
Seyhan Yildiz,FW,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Büchel,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Büchel,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,7,70
Rasmus Højlund,FW,90,3,0,0,0,7,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Martin Braithwaite,FW,76,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Jonas Wind,"FW,MF",14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mikkel Damsgaard,AM,64,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
Mohammed Daramy,"FW,MF",26,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Mathias Jensen,DM,76,0,0,0,0,2,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0
Philip Billing,MF,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Nørgaard,DM,90,0,0,0,0,1,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0
Pierre Højbjerg,DM,90,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,0
Joakim Mæhle,LB,64,0,0,0,0,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Jens Stryger Larsen,"DF,MF",26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Christensen,CB,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Victor Nelsson,"DF,MF",73,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Simon Kjær,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Alexander Bah,RB,90,0,1,0,0,0,0,0,0,1,2,0,5,2,1,0,0,0,0,0,0,0
Kasper Schmeichel,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasper Schmeichel,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50
Teemu Pukki,FW,90,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Joel Pohjanpalo,FW,90,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Oliver Antman,LM,71,1,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Anssi Tapio Suhonen,MF,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Glen Kamara,CM,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Kaan Kairinen,CM,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Robin Lod,RM,73,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
