name,Price
"Lyndon Dykes
Skotland - Angreb",3000000.0
"Predrag Rajkovic
Serbien - Mål",3000000.0
"Djordje Petrovic
Serbien - Mål",3000000.0
"Nikola Milenkovic
Serbien - Forsvar",3000000.0
"Filip Mladenovic
Serbien - Forsvar",3000000.0
"Sasa Lukic
Serbien - Midtbane",3000000.0
"Luka Jovic
Serbien - Angreb",3000000.0
"Andrija Zivkovic
Serbien - Midtbane",3000000.0
"Marek Rodak
Slovakiet - Mål",3000000.0
"Milan Skriniar
Slovakiet - Forsvar",3000000.0
"David Hancko
Slovakiet - Forsvar",3000000.0
"Ondrej Duda
Slovakiet - Midtbane",3000000.0
"Lukas Haraslin
Slovakiet - Midtbane",3000000.0
"Robert Bozenik
Slovakiet - Angreb",3000000.0
"Vid Belec
Slovenien - Mål",3000000.0
"Zan Karnicnik
Slovenien - Forsvar",3000000.0
"Petar Stojanovic
Slovenien - Midtbane",3000000.0
"Adam Gnezda Cerin
Slovenien - Midtbane",3000000.0
"Jan Mlakar
Slovenien - Angreb",3000000.0
"Jesus Navas
Spanien - Forsvar",3000000.0
"Pedro Porro
Spanien - Forsvar",3000000.0
"Ricardo Rodriguez
Schweiz - Forsvar",3000000.0
"Silvan Widmer
Schweiz - Forsvar",3000000.0
"Noah Okafor
Schweiz - Midtbane",3000000.0
"Granit Xhaka
Schweiz - Midtbane",3000000.0
"Georgiy Bushchan
Ukraine - Mål",3000000.0
"Illia Zabarnyi
Ukraine - Forsvar",3000000.0
"Oleksandr Zinchenko
Ukraine - Midtbane",3000000.0
"Ruslan Malinovskyi
Ukraine - Midtbane",3000000.0
"Adam Zrelak
Slovakiet - Angreb",3000000.0
"Jose Luis Gaya
Spanien - Forsvar",3000000.0
"Altay Bayindir
Tyrkiet - Mål",3000000.0
"Ferdi Kadioglu
Tyrkiet - Forsvar",3000000.0
"Ozan Kabak
Tyrkiet - Forsvar",3000000.0
"Orkun Kökcü
Tyrkiet - Midtbane",3000000.0
"Arda Güler
Tyrkiet - Midtbane",3000000.0
"Baris Alper Yilmaz
Tyrkiet - Midtbane",3000000.0
"Milos Veljkovic
Serbien - Forsvar",3000000.0
"Darko Lazovic
Serbien - Midtbane",3000000.0
"Robert Andrich
Tyskland - Midtbane",3000000.0
"Callum McGregor
Skotland - Midtbane",3000000.0
"Francesco Acerbi
Italien - Forsvar",3000000.0
"Bryan Cristante
Italien - Midtbane",3000000.0
"Yukhym Konoplya
Ukraine - Forsvar",3000000.0
"Ferland Mendy
Frankrig - Forsvar",3000000.0
"Breel Embolo
Schweiz - Angreb",3000000.0
"Ivan Perisic
Kroatien - Angreb",3000000.0
"Luka Sucic
Kroatien - Midtbane",3000000.0
"Kobbie Mainoo
England - Midtbane",3000000.0
"Adam Wharton
England - Midtbane",3000000.0
"Stefan de Vrij
Holland - Forsvar",3000000.0
"Brian Brobbey
Holland - Angreb",3000000.0
"Niklas Hedl
Østrig - Mål",3000000.0
"Elhan Kastrati
Albanien - Mål",2500000.0
"Elseid Hysaj
Albanien - Forsvar",2500000.0
"Mario Mitaj
Albanien - Forsvar",2500000.0
"Ylber Ramadani
Albanien - Midtbane",2500000.0
"Kristjan Asllani
Albanien - Midtbane",2500000.0
"Taulant Seferi
Albanien - Angreb",2500000.0
"Sokol Cikalleshi
Albanien - Angreb",2500000.0
"Myrto Uzuni
Albanien - Angreb",2500000.0
"Jasir Asani
Albanien - Angreb",2500000.0
"Phillipp Mwene
Østrig - Forsvar",2500000.0
"Kevin Danso
Østrig - Forsvar",2500000.0
"Maximilian Wöber
Østrig - Forsvar",2500000.0
"Florian Grillitsch
Østrig - Midtbane",2500000.0
"Romano Schmid
Østrig - Midtbane",2500000.0
"Maximilian Entrup
Østrig - Angreb",2500000.0
"Koni de Winter
Belgien - Forsvar",2500000.0
"Aster Vranckx
Belgien - Midtbane",2500000.0
"Leander Dendoncker
Belgien - Midtbane",2500000.0
"Domagoj Vida
Kroatien - Forsvar",2500000.0
"Martin Erlic
Kroatien - Forsvar",2500000.0
"Ante Budimir
Kroatien - Angreb",2500000.0
"David Jurasek
Tjekkiet - Forsvar",2500000.0
"Jaroslav Zeleny
Tjekkiet - Forsvar",2500000.0
"David Zima
Tjekkiet - Forsvar",2500000.0
"Tomas Holes
Tjekkiet - Forsvar",2500000.0
"Lukas Provod
Tjekkiet - Midtbane",2500000.0
"David Doudera
Tjekkiet - Forsvar",2500000.0
"Ondrej Lingr
Tjekkiet - Midtbane",2500000.0
"Tomas Chory
Tjekkiet - Angreb",2500000.0
"Mojmir Chytil
Tjekkiet - Angreb",2500000.0
"Elias Jelert
Danmark - Forsvar",2500000.0
"Jannik Vestergaard
Danmark - Forsvar",2500000.0
"Alexander Bah
Danmark - Forsvar",2500000.0
"Philip Billing
Danmark - Midtbane",2500000.0
"Luka Gugeshashvili
Georgien - Mål",2500000.0
"Giorgi Loria
Georgien - Mål",2500000.0
"Otar Kakabadze
Georgien - Forsvar",2500000.0
"Guram Kashia
Georgien - Forsvar",2500000.0
"Solomon Kvirkvelia
Georgien - Forsvar",2500000.0
"Luka Lochoshvili
Georgien - Forsvar",2500000.0
"Jaba Kankava
Georgien - Midtbane",2500000.0
"Otar Kiteishvili
Georgien - Midtbane",2500000.0
"Levan Shengelia
Georgien - Midtbane",2500000.0
"Zuriko Davitashvili
Georgien - Midtbane",2500000.0
"Waldemar Anton
Tyskland - Forsvar",2500000.0
"Robin Koch
Tyskland - Forsvar",2500000.0
"Maximilian Beier
Tyskland - Angreb",2500000.0
"Bendeguz Bolla
Ungarn - Forsvar",2500000.0
"Milos Kerkez
Ungarn - Forsvar",2500000.0
"Adam Lang
Ungarn - Forsvar",2500000.0
"Zsolt Nagy
Ungarn - Forsvar",2500000.0
"Attila Szalai
Ungarn - Forsvar",2500000.0
"Adam Nagy
Ungarn - Midtbane",2500000.0
"Loic Nego
Ungarn - Midtbane",2500000.0
"Andras Schäfer
Ungarn - Midtbane",2500000.0
"Callum Styles
Ungarn - Midtbane",2500000.0
"Martin Adam
Ungarn - Angreb",2500000.0
"Daniel Gazdag
Ungarn - Angreb",2500000.0
"Jerdy Schouten
Holland - Midtbane",2500000.0
"Quinten Timber
Holland - Midtbane",2500000.0
"Jan Bednarek
Polen - Forsvar",2500000.0
"Matthew Cash
Polen - Forsvar",2500000.0
"Pawel Dawidowicz
Polen - Forsvar",2500000.0
"Kamil Grosicki
Polen - Midtbane",2500000.0
"Jakub Piotrowski
Polen - Midtbane",2500000.0
"Bartosz Slisz
Polen - Midtbane",2500000.0
"Damian Szymanski
Polen - Midtbane",2500000.0
"Adam Buksa
Polen - Angreb",2500000.0
"Krzysztof Piatek
Polen - Angreb",2500000.0
"Pepe
Portugal - Forsvar",2500000.0
"Nelson Semedo
Portugal - Forsvar",2500000.0
"João Neves
Portugal - Midtbane",2500000.0
"Andrei Ratiu
Rumænien - Forsvar",2500000.0
"Razvan Marin
Rumænien - Midtbane",2500000.0
"Darius Olaru
Rumænien - Midtbane",2500000.0
"Alexandru Cicaldau
Rumænien - Midtbane",2500000.0
"Florin Tanase
Rumænien - Midtbane",2500000.0
"Florinel Coman
Rumænien - Midtbane",2500000.0
"George Puscas
Rumænien - Angreb",2500000.0
"Cristian Manea
Rumænien - Forsvar",2500000.0
"Liam Kelly
Skotland - Mål",2500000.0
"Craig Gordon
Skotland - Mål",2500000.0
"Jack Hendry
Skotland - Forsvar",2500000.0
"Ryan Porteous
Skotland - Forsvar",2500000.0
"Billy Gilmour
Skotland - Midtbane",2500000.0
"Stuart Armstrong
Skotland - Midtbane",2500000.0
"Ryan Christie
Skotland - Midtbane",2500000.0
"Che Adams
Skotland - Angreb",2500000.0
"Lawrence Shankland
Skotland - Angreb",2500000.0
"Scott McKenna
Skotland - Forsvar",2500000.0
"Strahinja Erakovic
Serbien - Forsvar",2500000.0
"Srdjan Babic
Serbien - Forsvar",2500000.0
"Lazar Samardzic
Serbien - Midtbane",2500000.0
"Ivan Ilic
Serbien - Midtbane",2500000.0
"Henrich Ravas
Slovakiet - Mål",2500000.0
"Denis Vavro
Slovakiet - Forsvar",2500000.0
"Peter Pekarik
Slovakiet - Forsvar",2500000.0
"Michal Tomic
Slovakiet - Forsvar",2500000.0
"Norbert Gyömber
Slovakiet - Forsvar",2500000.0
"Tomas Suslov
Slovakiet - Midtbane",2500000.0
"Laszlo Benes
Slovakiet - Midtbane",2500000.0
"Juraj Kucka
Slovakiet - Midtbane",2500000.0
"Robert Mak
Slovakiet - Midtbane",2500000.0
"Matus Bero
Slovakiet - Midtbane",2500000.0
"Stanislav Lobotka
Slovakiet - Midtbane",2500000.0
"Robert Polievka
Slovakiet - Angreb",2500000.0
"Leo Sauer
Slovakiet - Angreb",2500000.0
"Igor Vekic
Slovenien - Mål",2500000.0
"Jaka Bijol
Slovenien - Forsvar",2500000.0
"David Brekalo
Slovenien - Forsvar",2500000.0
"Erik Janza
Slovenien - Forsvar",2500000.0
"Sandi Lovric
Slovenien - Midtbane",2500000.0
"Benjamin Verbic
Slovenien - Midtbane",2500000.0
"Timi Max Elsnik
Slovenien - Midtbane",2500000.0
"Tomi Horvat
Slovenien - Midtbane",2500000.0
"Zan Celar
Slovenien - Angreb",2500000.0
"Zan Vipotnik
Slovenien - Angreb",2500000.0
"Daniel Vivian
Spanien - Forsvar",2500000.0
"Marc Cucurella
Spanien - Forsvar",2500000.0
"Pau Cubarsi
Spanien - Forsvar",2500000.0
"Alex Baena
Spanien - Midtbane",2500000.0
"Nico Elvedi
Schweiz - Forsvar",2500000.0
"Fabian Schär
Schweiz - Forsvar",2500000.0
"Michel Aebischer
Schweiz - Midtbane",2500000.0
"Renato Steffen
Schweiz - Midtbane",2500000.0
"Denis Zakaria
Schweiz - Midtbane",2500000.0
"Dan Ndoye
Schweiz - Angreb",2500000.0
"Mykola Matviienko
Ukraine - Forsvar",2500000.0
"Vitaliy Mykolenko
Ukraine - Forsvar",2500000.0
"Oleksandr Zubkov
Ukraine - Midtbane",2500000.0
"Oleksiy Gutsulyak
Ukraine - Midtbane",2500000.0
"Danylo Sikan
Ukraine - Angreb",2500000.0
"Abdulkerim Bardakci
Tyrkiet - Forsvar",2500000.0
"Merih Demiral
Tyrkiet - Forsvar",2500000.0
"Zeki Celik
Tyrkiet - Forsvar",2500000.0
"Salih Özcan
Tyrkiet - Midtbane",2500000.0
"Enes Ünal
Tyrkiet - Angreb",2500000.0
"Mehmet Umut Nayir
Tyrkiet - Angreb",2500000.0
"Kenan Yildiz
Tyrkiet - Angreb",2500000.0
