name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y,Price
Nemanja Gudelj,"DF,MF",SRB,18592,15928,176,160,13936,155.2,8,8,16,8,0,0,56,0,6.4,6.4,3.2,9.6,184,584,40,0.4,0.4,0.8,0.4,0.8,0.32,0.16,0.48,0.32,0.48,697,0,0,0,0,8,4,1,0,7,10,0,2,9,13,0,0,0,0,0,0,0.0,ESP-La Liga,Sevilla,32-195,"CM,CB,DM",2500000.0
Timothy Castagne,DF,BEL,18592,15960,272,232,21072,234.4,8,24,32,8,0,0,24,0,12.8,12.8,15.2,28.0,384,616,904,0.24,0.8,1.12,0.24,1.12,0.48,0.56,0.96,0.48,0.96,695,0,2,0,0,3,1,2,0,4,5,0,12,11,8,0,0,0,0,0,0,0.0,ENG-Premier League,Fulham,28-176,"CM,RB",3500000.0
João Cancelo,DF,POR,20916,17946,288,261,22527,250.2,18,36,54,18,0,0,63,0,14.4,14.4,54.9,69.3,954,1269,1737,0.6300000000000001,1.2600000000000002,1.98,0.6300000000000001,1.98,0.54,1.98,2.5200000000000005,0.54,2.5200000000000005,690,3,0,0,0,15,9,0,0,5,11,0,32,6,11,0,0,0,0,0,0,0.0,ESP-La Liga,Barcelona,30-002,"LB,DF,MF,RB,RW,DM",5000000.0
John Mcginn,"MF,FW",SCO,18592,15952,280,280,23992,266.4,48,32,80,48,0,0,72,8,40.0,40.0,36.8,76.8,472,1512,672,1.44,0.96,2.4,1.44,2.4,1.2,1.12,2.32,1.2,2.32,690,3,2,1,1,16,5,1,0,13,19,0,22,9,3,0,0,0,0,0,0,0.0,ENG-Premier League,Aston Villa,29-224,"RM,FW,AM",3500000.0
Arthur Theate,DF,BEL,18592,16000,224,216,18368,204.0,16,0,16,16,0,0,32,0,15.2,15.2,6.4,21.6,264,1208,192,0.64,0.0,0.64,0.64,0.64,0.56,0.24,0.88,0.56,0.88,681,0,2,0,0,6,1,1,0,8,6,0,13,3,8,0,0,0,0,0,0,0.0,FRA-Ligue 1,Rennes,24-004,"LB,CB",3500000.0
Virgil Van Dijk,DF,NED,18592,15928,288,288,25416,282.4,16,16,32,16,0,0,24,8,22.4,22.4,12.8,35.2,256,1600,56,0.48,0.48,0.88,0.48,0.88,0.64,0.32,0.96,0.64,0.96,675,1,0,1,1,6,1,1,0,5,6,0,0,5,9,0,0,0,0,0,0,0.0,ENG-Premier League,Liverpool,32-326,CB,4000000.0
Antoine Griezmann,"FW,MF",FRA,18592,15928,264,248,21152,235.2,128,48,176,96,32,32,40,0,98.4,74.4,44.8,119.2,344,944,1568,4.32,1.6,6.0,3.28,4.88,3.36,1.52,4.88,2.56,4.08,670,1,1,0,0,17,5,2,0,4,2,1,37,5,4,0,0,0,0,0,0,0.0,ESP-La Liga,Atlético Madrid,33-069,"CM,AM",7000000.0
Bernardo Silva,"MF,FW",POR,20916,17946,297,261,23202,257.40000000000003,54,81,135,54,0,0,72,0,33.300000000000004,33.300000000000004,68.39999999999999,101.7,1260,1593,2340,1.89,2.79,4.68,1.89,4.68,1.17,2.43,3.6,1.17,3.6,670,3,4,0,0,12,5,1,0,2,2,0,15,7,2,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,29-293,"DM,CM,FW,AM",6500000.0
Joakim Mæhle,"DF,MF",DEN,18592,15976,240,216,19616,217.6,16,24,40,16,0,0,40,0,11.2,11.2,21.6,32.0,672,952,1096,0.56,0.88,1.44,0.56,1.44,0.4,0.8,1.2,0.4,1.2,667,2,1,0,0,16,7,1,0,5,1,1,20,7,6,0,0,0,0,0,0,0.0,GER-Bundesliga,Wolfsburg,27-009,"LB,RB,DM",3500000.0
Ruben Vargas,"MF,FW",SUI,20916,17982,279,225,17658,196.2,36,45,81,36,0,0,27,0,35.1,35.1,21.6,56.7,513,693,1305,1.62,2.0700000000000003,3.69,1.62,3.69,1.62,0.99,2.61,1.62,2.61,653,3,2,0,0,21,9,0,0,6,8,6,37,5,2,0,0,0,0,0,0,0.0,GER-Bundesliga,Augsburg,25-298,"DM,FW,AM",3500000.0
Scott Mctominay,"MF,FW",SCO,18592,15968,256,144,15208,168.8,56,8,64,56,0,0,16,0,45.6,45.6,6.4,52.8,232,512,376,2.64,0.4,3.04,2.64,3.04,2.16,0.32,2.48,2.16,2.48,653,7,1,0,0,20,8,1,0,8,11,0,15,5,6,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester Utd,27-173,"MF,CM,DM,AM",4000000.0
Ondrej Duda,MF,SVK,18592,15952,256,232,19648,218.4,8,32,40,8,0,8,112,16,17.6,11.2,26.4,37.6,272,936,376,0.32,1.2,1.44,0.32,1.44,0.64,0.96,1.6,0.4,1.36,652,2,2,1,1,6,4,2,0,18,23,1,11,5,5,0,0,0,0,0,0,0.0,ITA-Serie A,Hellas Verona,29-176,CM,3000000.0
Simon Kjær,DF,DEN,18592,15912,160,112,9368,104.0,0,8,8,0,0,0,8,0,4.0,4.0,6.4,10.4,32,416,0,0.0,0.64,0.64,0.0,0.64,0.32,0.48,0.8,0.32,0.8,640,0,1,0,0,7,0,1,0,8,2,0,0,7,4,0,0,0,0,0,0,0.0,ITA-Serie A,Milan,35-064,"DF,CB",3000000.0
Lovro Majer,"MF,FW,MF",CRO,32536,27972,231,175,14854,165.2,35,35,70,21,14,14,35,0,37.8,26.6,24.5,51.1,434,868,987,1.47,1.47,3.01,0.91,2.3800000000000003,2.5900000000000003,10.71,13.23,2.1,12.74,632,2,2,0,0,20,6,0,0,8,10,2,34,4,4,0,0,0,0,0,0,0.0,"FRA-Ligue 1,GER-Bundesliga","Wolfsburg,Rennes",26-133,"MF,CM,FW,AM",3500000.0
Berat Djimsiti,DF,ALB,16268,13951,252,224,19712,219.1,0,7,7,0,0,0,35,0,5.6000000000000005,5.6000000000000005,4.9,10.5,42,553,70,0.0,0.21,0.21,0.0,0.21,0.21,0.14,0.35,0.21,0.35,630,0,0,0,0,0,0,0,0,4,1,0,2,1,7,0,0,0,0,0,0,0.0,ITA-Serie A,Atalanta,31-100,CB,3000000.0
Joachim Andersen,DF,DEN,16268,13972,266,266,23905,265.3,14,21,35,14,0,0,49,0,11.9,11.9,19.6,31.5,147,1029,70,0.35,0.56,0.91,0.35,0.91,0.28,0.49,0.84,0.28,0.84,630,0,1,0,0,8,1,3,0,7,4,0,8,7,6,0,0,0,0,0,0,0.0,ENG-Premier League,Crystal Palace,27-364,"CB,RB",3000000.0
Nico Elvedi,DF,SUI,16268,13972,210,196,17374,193.2,14,7,21,14,0,0,35,0,11.2,11.2,0.7000000000000001,11.9,259,763,42,0.49,0.28,0.77,0.49,0.77,0.42,0.0,0.42,0.42,0.42,630,0,0,0,0,4,0,0,0,3,4,1,0,5,9,0,0,0,0,0,0,0.0,GER-Bundesliga,Gladbach,27-242,CB,2500000.0
Elseid Hysaj,DF,ALB,16268,13958,154,77,8393,93.1,0,0,0,0,0,0,14,0,1.4,1.4,2.8000000000000003,4.9,189,357,287,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.35,0.14,0.35,630,0,1,0,0,0,0,1,0,2,7,1,3,6,6,0,0,0,0,0,0,0.0,ITA-Serie A,Lazio,30-099,"LB,RB",2500000.0
Ylber Ramadani,MF,ALB,16268,13972,238,238,20790,231.0,7,0,7,7,0,0,91,0,7.0,7.0,3.5,11.2,252,847,98,0.21,0.0,0.21,0.21,0.21,0.21,0.14,0.35,0.21,0.35,630,0,2,0,0,5,2,0,0,6,14,0,3,13,11,0,0,0,0,0,0,0.0,ITA-Serie A,Lecce,28-047,"CM,DM,AM",2500000.0
Declan Rice,MF,ENG,18592,15992,304,296,25800,286.4,56,64,120,56,0,0,40,0,26.4,26.4,42.4,68.8,600,2224,512,1.6,1.76,3.36,1.6,3.36,0.72,1.2,1.92,0.72,1.92,628,1,0,0,0,4,2,2,0,4,2,0,2,8,6,0,0,0,0,0,0,0.0,ENG-Premier League,Arsenal,25-136,"CM,DF,MF,DM",4500000.0
