name,pos,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%
Federico Bernardeschi,LW,774,0,0,0,0,4,1,0,0,0,2,1,18,4,6,0,0,0,0,0,0,0
Robin Quaison,FW,762,0,0,0,0,1,1,0,0,6,1,1,0,0,0,0,1,0,0,0,0,0
Alex Král,CM,762,0,0,0,0,1,0,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0
Denis Zakaria,"CM,DM",750,0,0,0,0,2,0,0,0,3,0,0,2,2,6,1,0,0,0,0,0,0
Jakub Hromada,DM,738,0,0,0,0,0,0,0,0,3,6,0,0,2,15,0,0,1,0,0,0,0
João Palhinha,CM,732,0,0,0,0,5,0,2,0,2,1,0,0,12,0,0,0,0,0,0,0,0
Boban Nikolov,DM,720,0,0,0,0,4,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0
Yusuf Yazıcı,CM,702,0,0,0,0,1,0,0,0,1,2,0,12,4,0,0,0,0,0,0,0,0
Leroy Sané,WB,684,0,0,0,0,1,0,2,0,1,2,1,14,0,0,0,0,0,0,0,0,0
Rasmus Schüller,CM,678,0,0,0,0,0,0,0,0,1,1,0,0,4,18,0,0,0,0,0,0,0
Josip Brekalo,"RM,RB",678,0,0,0,0,0,0,0,0,2,0,1,4,4,3,0,0,0,0,0,0,0
İrfan Kahveci,CM,678,1,0,0,0,2,1,0,0,4,3,0,2,4,3,0,0,0,0,0,0,0
Sasa Kalajdzic,FW,672,1,0,0,0,6,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
Michael Gregoritsch,DM,654,1,0,0,0,3,2,0,0,1,3,1,2,2,0,0,0,0,0,0,0,0
Mert Müldür,LB,654,0,0,0,0,4,4,0,0,1,1,0,6,4,9,0,0,0,0,0,0,0
Timo Werner,FW,648,0,0,0,0,2,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
Ryan Gravenberch,"CM,LM,DM",642,0,0,0,0,2,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0
Anton Shunin,GK,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0
Martin Koscelník,"RW,RB",612,0,0,0,0,1,0,0,0,2,2,0,8,2,3,0,0,0,0,0,0,0
Diogo Dalot,RB,612,0,0,0,0,0,0,2,0,1,0,1,8,2,3,0,0,0,0,0,0,0
Gergő Lovrencsics,RB,600,0,0,0,0,0,0,0,0,1,0,0,6,2,6,0,0,0,0,0,0,0
Jadon Sancho,"RW,RB",588,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0
Lucas Digne,LB,576,0,0,0,0,0,0,0,0,2,1,0,10,2,6,0,0,0,0,0,0,0
Patrik Hrošovský,DM,570,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0
Nacer Chadli,WB,564,0,0,0,0,2,1,0,0,1,1,0,12,2,0,0,0,0,0,0,0,0
Alessandro Bastoni,CB,540,0,0,0,0,0,0,0,0,5,0,0,4,2,0,0,0,0,0,0,0,0
Liam Cooper,CB,540,0,0,0,0,0,0,0,0,0,1,0,2,4,6,0,0,0,0,0,0,0
Jules Koundé,RB,540,0,0,0,0,0,0,0,0,2,1,0,4,0,6,0,0,1,0,0,0,0
Jakub Moder,CM,540,0,0,0,0,0,0,2,0,3,1,0,6,2,0,0,0,1,0,0,0,0
Chris Gunter,CB,540,0,0,0,0,1,0,2,0,2,0,0,0,2,3,0,0,0,0,0,0,0
Reece James,RB,540,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
Pavel Kadeřábek,LB,540,0,0,0,0,1,0,0,0,1,1,0,2,0,3,0,0,0,0,0,0,0
Andrei Semyonov,CB,540,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Alessandro Schöpf,LW,540,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
Kingsley Coman,LM,540,0,0,0,0,4,2,2,0,1,2,0,8,4,3,0,0,0,0,0,0,0
Marcus Rashford,"DM,RB",528,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Viktor Claesson,RM,516,1,0,0,0,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
Przemysław Frankowski,WB,510,0,2,0,0,0,0,0,0,1,0,0,16,2,0,0,0,0,0,0,0,0
Corentin Tolisso,RW,492,0,0,0,0,1,1,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0
Adam Hložek,LM,480,0,0,0,0,1,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0
Darko Churlinov,"FW,RW",480,0,0,0,0,0,0,0,0,0,0,1,4,4,3,0,0,0,0,0,0,0
Karol Linetty,AM,474,1,0,0,0,3,2,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0
Emil Krafth,RB,468,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Jonas Wind,FW,468,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Luis Gayà,LB,456,0,0,0,0,3,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
Billy Gilmour,CM,450,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0
Leandro Trossard,WB,444,0,0,0,0,1,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0
Marlos,"RM,CM",444,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Maciej Rybus,"LW,LB",438,0,2,0,0,1,0,0,0,4,1,0,16,0,0,0,0,0,0,0,0,0
Ethan Ampadu,"CB,CM",438,0,0,0,0,0,0,0,2,2,0,0,0,2,3,0,0,0,0,0,0,0
Christian Fassnacht,LM,438,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0
Fabián Ruiz Peña,RM,426,0,0,0,0,1,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0
Ivan Tričkovski,RW,420,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Nemanja Nikolić,"FW,LB",408,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
Thiago Alcántara,CM,408,0,0,0,0,2,0,0,0,0,2,0,2,4,6,0,0,0,0,0,0,0
Luka Ivanušec,CM,402,0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0
Michal Krmenčík,FW,402,0,0,0,0,4,2,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0
Joachim Andersen,CB,396,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Jack Hendry,CB,396,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Fyodor Kudryashov,CB,396,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0
Andreas Cornelius,FW,366,0,2,0,0,4,1,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0
Rifat Zhemaletdinov,CM,360,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Joni Kauko,CM,360,0,0,0,0,2,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0
Quincy Promes,"FW,LM",354,0,0,0,0,1,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0
Scott McKenna,CB,348,0,0,0,0,1,0,2,0,1,1,0,0,2,3,0,0,0,0,0,0,0
Maksim Mukhin,WB,348,0,0,0,0,0,0,0,0,2,1,0,2,8,3,0,0,0,0,0,0,0
Jude Bellingham,DM,348,0,0,0,0,0,0,0,0,1,2,0,0,2,3,0,0,0,0,0,0,0
Michal Ďuriš,FW,336,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Berghuis,LB,330,0,0,0,0,1,0,0,0,1,2,0,12,4,0,0,0,0,0,0,0,0
Kacper Kozłowski,CM,324,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
