name,pos,nation,season,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%,league,team,age,pos_y
Yvandro Borges Sanches,"MF,FW",LUX,18592,16032,24,0,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573,2,0,0,0,5,2,0,0,3,3,2,9,8,2,0,0,0,0,0,0,0.0,GER-Bundesliga,Gladbach,20-005,"FW,MF,LM"
Kieffer Moore,"FW,MF",WAL,18592,15936,64,0,864,9.6,8,0,8,8,0,0,0,0,12.0,12.0,1.6,13.6,16,32,120,6.64,0.0,6.64,6.64,6.64,9.84,1.6,11.52,9.84,11.52,573,1,1,0,0,21,8,1,1,15,14,2,3,3,0,0,0,0,0,0,0,0.0,ENG-Premier League,Bournemouth,31-295,"DF,FW,FW"
Philipp Lienhart,DF,AUT,16268,13972,105,98,8855,98.7,7,0,7,7,0,0,21,0,7.700000000000001,7.700000000000001,7.700000000000001,15.400000000000002,98,371,21,0.49000000000000005,0.0,0.49000000000000005,0.49000000000000005,0.49000000000000005,0.56,0.56,1.12,0.56,1.12,570,1,0,0,0,3,1,0,0,2,2,0,0,4,7,0,0,0,0,0,0,0.0,GER-Bundesliga,Freiburg,27-323,"DF,CB"
Adam Hložek,"MF,FW",CZE,23240,20020,230,50,4590,51.0,20,30,50,20,0,0,10,0,31.0,31.0,9.0,40.0,140,130,330,3.9000000000000004,5.8999999999999995,9.8,3.9000000000000004,9.8,6.0,1.7999999999999998,7.800000000000001,6.0,7.800000000000001,570,0,0,0,0,19,4,0,0,3,12,0,7,1,2,0,0,0,0,0,0,0.0,GER-Bundesliga,Leverkusen,21-309,"FW,MF,FW,AM"
Álvaro Morata,FW,ESP,18592,15936,256,168,15232,169.6,120,24,144,120,0,8,32,8,110.4,103.2,13.6,116.8,176,160,704,5.68,1.12,6.8,5.68,6.8,5.2,0.64,5.84,4.88,5.52,568,4,0,0,0,18,7,1,0,2,9,8,2,2,1,0,0,0,0,0,0,0.0,ESP-La Liga,Atlético Madrid,31-219,FW
Dara O'Shea,DF,IRL,18592,15992,264,256,23136,256.8,24,32,56,24,0,0,40,8,5.6,5.6,16.0,21.6,256,976,80,0.72,0.96,1.76,0.72,1.76,0.16,0.48,0.64,0.16,0.64,565,0,0,0,0,4,1,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0.0,ENG-Premier League,Burnley,25-086,"DF,CB"
Tomáš Suslov,"MF,FW",SVK,23240,20020,320,230,20920,232.0,30,50,80,20,10,10,70,0,35.0,26.0,36.0,62.0,460,640,740,1.3,2.2,3.4000000000000004,0.8999999999999999,3.0,1.5,1.5,3.1,1.1,2.6,564,1,0,0,0,16,1,2,0,12,17,1,21,3,3,0,0,0,0,0,0,0.0,ITA-Serie A,Hellas Verona,21-357,"FW,MF,FW"
Phil Foden,"FW,MF",ENG,20916,18000,315,297,25713,285.3,171,72,243,171,0,0,18,0,92.7,92.7,75.60000000000001,168.29999999999998,837,1512,2421,5.3999999999999995,2.25,7.6499999999999995,5.3999999999999995,7.6499999999999995,2.97,2.34,5.31,2.97,5.31,564,0,0,0,0,3,1,0,0,3,8,0,19,3,1,0,0,0,0,0,0,0.0,ENG-Premier League,Manchester City,24-001,"FW,MF,FW,AM"
Mattias Svanberg,MF,SWE,18592,15992,200,160,13720,152.8,8,24,32,8,0,0,64,0,24.0,24.0,18.4,42.4,224,672,416,0.4,1.28,1.68,0.4,1.68,1.2,0.96,2.24,1.2,2.24,562,0,0,0,0,7,1,1,0,9,5,1,3,3,6,0,0,0,0,0,0,0.0,GER-Bundesliga,Wolfsburg,25-145,"MF,CM,RM,DM"
Yannick Carrasco,DF,BEL,18592,15944,24,24,1768,20.0,0,8,8,0,0,0,0,0,0.8,0.8,1.6,2.4,72,48,136,0.0,3.28,3.28,0.0,3.28,0.24,0.8,0.96,0.24,0.96,562,1,3,0,0,11,4,0,0,4,5,4,30,6,3,0,0,0,0,0,0,0.0,ESP-La Liga,Atlético Madrid,30-268,"CM,LW,DF,FW,FW,LM"
